Place,virus,sample_size,log_lik,DIC,model
Pirries & Pijivasal,VEEV,73,-25.405625206964874,59.5319940618188,constant
Pirries & Pijivasal,VEEV,73,-18.934198763219236,47.27806273056824,tyme_varying
Mercadeo,VEEV,103,-26.25948782086671,56.12954054791244,constant
Mercadeo,VEEV,103,-22.845515569293493,50.40556873098796,tyme_varying
Tamarindo,VEEV,176,-13.89968817917056,29.738885363000588,constant
Tamarindo,VEEV,176,-13.446415429487553,29.857244204831034,tyme_varying
El Real,VEEV,251,-27.15905731803096,59.58329364849495,constant
El Real,VEEV,251,-25.45196914080814,57.889299689922325,tyme_varying
Aruza,VEEV,167,-20.99377310185379,44.109734469132036,constant
Aruza,VEEV,167,-20.611239948721177,46.162230752893336,tyme_varying
Mogue,VEEV,243,-21.642246665504473,45.30745058860653,constant
Mogue,VEEV,243,-23.733733837143674,53.50508244622735,tyme_varying
